@relation song_type
@attribute 'danceability' numeric
@attribute 'energy' numeric
@attribute 'key' numeric
@attribute 'loudness' numeric
@attribute 'speechiness' numeric
@attribute 'acousticness' numeric
@attribute 'instrumentalness' numeric
@attribute 'liveness' numeric
@attribute 'valence' numeric
@attribute 'tempo' numeric
@attribute 'id' string

@data
0.606,0.338,1,-11.33,0.026,0.953,0.178,0.109,0.201,77.943,3FEgvVQvTqiREuHFVuyp58
0.668,0.211,9,-15.532,0.031,0.792,0.0002,0.108,0.259,111.969,0d0iBmyaaywSWyEjN9NQla
0.722,0.435,1,-9.11,0.0372,0.76,0.00727,0.124,0.325,93.006,4xJArZy4XVXmcWOGWDvBpX
0.816,0.596,0,-8.989,0.0294,0.557,0.812,0.0842,0.876,123.027,4VFGpluBaU1WcquEMzhSz6
0.651,0.388,9,-9.987,0.0284,0.623,0.0366,0.354,0.287,114.006,7iYcFSLfQb1VENNU8vePHa
0.635,0.549,1,-5.737,0.0261,0.654,0.00148,0.0841,0.122,90.023,3Ms2JUwxA2tj3GCFvxY3XU
0.661,0.657,4,-9.667,0.0253,0.0758,0.666,0.105,0.776,101.018,0LqZuRAroDVnV6LjDUGap1
0.366,0.696,4,-10.883,0.0413,0.0273,0.828,0.104,0.341,129.396,5RlTgdN9S8r1ApRJrNmWWr
0.643,0.466,5,-9.294,0.0384,0.387,0.0191,0.105,0.314,134.943,1Nr97Z8ZmpZEkpKX6bEanN
0.406,0.647,3,-10.453,0.0413,0.0427,0.193,0.1,0.344,180.044,76tGvMdmFKuiMew33ZNNA9
0.632,0.266,10,-11.795,0.0253,0.652,0.0000597,0.121,0.409,74.01,3QoUWKVUxt6pPRHvnuH2ZB
0.332,0.225,0,-8.697,0.0348,0.767,0.00349,0.128,0.297,81.055,4RVwu0g32PAqgUiJoXsdF8
0.61,0.514,1,-9.404,0.145,0.683,0.00154,0.253,0.55,89.721,00OTT8FmucQW9qfh4wTruA
